text,reading,english,level,length,kanji_ratio
一緒に映画を見ませんか。,いっしょにえいがをみませんか。,Would you like to watch a movie with me?,N5,12,0.42
ちょっと休みましょう。,ちょっとやすみましょう。,Let's take a rest.,N5,11,0.09
ペンで手紙を書きます。,ぺんでてがみをかきます。,I'll write a letter with a pen.,N5,11,0.27
日本語で何と言いますか。,にっぽんごでなんといいますか。,What do you say in Japanese?,N5,12,0.42
母にプレゼントをあげます。,ははにぷれぜんとをあげます。,I'll give my mother a present.,N5,13,0.08
父に時計をもらいました。,ちちにとけいをもらいました。,My father gave me a watch.,N5,12,0.25
もう荷物を送りましたか。,もうにもつをおくりましたか。,Have you already sent your baggage?,N5,12,0.25
いいえ、まだです。,いいえ、まだです。,"No, not yet.",N5,9,0.0
日本の食べ物は美味しいです。,にっぽんのたべものはおいしいです。,Japanese food is delicious.,N5,14,0.43
このコーヒーは熱くないです。,このこーひーはあつくないです。,This coffee isn't hot.,N5,14,0.07
仕事は忙しいですか。,しごとはいそがしいですか。,Are you busy at work?,N5,10,0.3
昨日は天気がよかったです。,きのうはてんきがよかったです。,The weather was fine yesterday.,N5,13,0.31
山は高いですが、きれいです。,やまはたかいですが、きれいです。,"The mountain is high, but it's beautiful.",N5,14,0.14
どんなスポーツが好きですか。,どんなすぽーつがすきですか。,What kind of sports do you like?,N5,14,0.07
あの人は親切な人です。,あのひとはしんせつなひとです。,He's a kind man.,N5,11,0.36
部屋はあまり静かではありません。,へやはあまりしずかではありません。,The room is not very quiet.,N5,16,0.19
リンゴを三つください。,りんごをみっつください。,Please give me three apples.,N5,11,0.09
猫が二匹います。,ねこがにひきいます。,I have two cats.,N5,8,0.38
教室にだれがいますか。,きょうしつにだれがいますか。,Who's in the classroom?,N5,11,0.18
机の上に本があります。,つくえのうえにほんがあります。,There is a book on the desk.,N5,11,0.27
スーパーの隣に花屋があります。,すーぱーのとなりにはなやがあります。,There is a flower shop next to the supermarket.,N5,15,0.2
庭に犬がいます。,にわにいぬがいます。,There's a dog in the garden.,N5,8,0.25
一週間に一回プールへ行きます。,いちしゅうかんにいちかいぷーるへいきます。,I go to the pool once a week.,N5,15,0.4
東京から大阪まで三時間かかります。,とうきょうからおおさかまでさんじかんかかります。,It'll take three hours from Tokyo to Osaka.,N5,17,0.41
ここから駅まで遠いですか。,ここからえきまでとおいですか。,Is it far from here to the station?,N5,13,0.15
雨が降っています。,あめがふっています。,It's raining.,N5,9,0.22
窓を閉めてください。,まどをしめてください。,Please close the window.,N5,10,0.2
住所を書いてください。,じゅうしょをかいてください。,Please write down your address.,N5,11,0.27
ゆっくり話してください。,ゆっくりはなしてください。,Please speak slowly.,N5,12,0.08
タクシーを呼びましょうか。,たくしーをよびましょうか。,Shall I call a taxi?,N5,13,0.08
ここで煙草を吸わないでください。,ここでたばこをすわないでください。,Please don't smoke here.,N5,16,0.19
この服を着てもいいですか。,このふくをきてもいいですか。,May I wear this dress?,N5,13,0.15
写真を撮ってはいけません。,しゃしんをとってはいけません。,Don't take pictures.,N5,13,0.23
パスポートを見せてください。,ぱすぽーとをみせてください。,Please show me your passport.,N5,14,0.07
辞書を忘れないでください。,じしょをわすれないでください。,Don't forget your dictionary.,N5,13,0.23
靴を脱がなければなりません。,くつをぬがなければなりません。,You have to take off your shoes.,N5,14,0.14
土曜日は学校へ行かなくてもいいです。,どようひはがっこうへいかなくてもいいです。,You don't have to go to school on Saturday.,N5,18,0.33
趣味は音楽を聞くことです。,しゅみはおんがくをきくことです。,My hobby is listening to music.,N5,13,0.38
泳ぐことができますか。,およぐことができますか。,Can you swim?,N5,11,0.09
寝る前に日記を書きます。,ねるまえににっきをかきます。,I'll write a diary before I go to bed.,N5,12,0.42
馬に乗ったことがありますか。,うまにのったことがありますか。,Have you ever been on a horse?,N5,14,0.14
昨日はテレビを見たり、本を読んだりしました。,きのうはてれびをみたり、ほんをよんだりしました。,I watched TV and read books yesterday.,N5,22,0.23
これから寒くなります。,これからさむくなります。,It's going to get cold.,N5,11,0.09
テレビは新しくて、安いです。,てれびはあたらしくて、やすいです。,TV is new and cheap.,N5,14,0.14
京都はきれいで、静かな町です。,きょうとはきれいで、しずかなまちです。,"Kyoto is a beautiful, quiet town.",N5,15,0.27
佐藤さんは背が高いです。,さとうさんはせがたかいです。,Mr Sato is tall.,N5,12,0.33
彼は日本語を話すのが上手です。,かれはにっぽんごをはなすのがじょうずです。,He speaks Japanese well.,N5,15,0.47
私はお菓子を作るのが好きです。,わたくしはおかしをつくるのがすきです。,I like making candy.,N5,15,0.33
喉が渇きました。,のどがかわきました。,I'm thirsty.,N5,8,0.25
お腹が空きました。,おなかがあきました。,I'm hungry.,N5,9,0.22
何か冷たいものを飲みたいです。,なんかつめたいものをのみたいです。,I want to drink something cold.,N5,15,0.2
日本へ旅行に行きたいです。,にっぽんへりょこうにいきたいです。,I want to go on a trip to Japan.,N5,13,0.38
どこも行きませんでした。,どこもいきませんでした。,I didn't go anywhere.,N5,12,0.08
この料理はとても辛いです。,このりょうりはとてもつらいです。,This dish is very difficult.,N5,13,0.23
外はとても暗いです。,そとはとてもくらいです。,It's very dark outside.,N5,10,0.2
カバンの中に財布があります。,かばんのなかにさいふがあります。,I have a wallet in my bag.,N5,14,0.21
窓の横に椅子があります。,まどのよこにいすがあります。,There is a chair by the window.,N5,12,0.33
駅の前に古いお寺があります。,えきのまえにふるいおてらがあります。,There is an old temple in front of the station.,N5,14,0.29
昨日、友達と映画を見に行きました。,きのう、ともだちとえいがをみにいきました。,I went to the movies with my friends yesterday.,N5,17,0.47
田中さんは今、電話をかけています。,たなかさんはいま、でんわをかけています。,Mr. Tanaka is making a phone call now.,N5,17,0.29
ちょっと名前を教えてください。,ちょっとなまえをおしえてください。,Please tell me your name.,N5,15,0.2
あそこにきれいな花が咲いています。,あそこにきれいなはながさいています。,There are beautiful flowers out there.,N5,17,0.12
帽子をかぶっています。,ぼうしをかぶっています。,I'm wearing a hat.,N5,11,0.18
眼鏡をかけています。,めがねをかけています。,I'm wearing glasses.,N5,10,0.2
シャツを着ています。,しゃつをきています。,I'm wearing a shirt.,N5,10,0.1
靴を履いています。,くつをはいています。,I'm wearing shoes.,N5,9,0.22
もうお昼ご飯を食べました。,もうおひるごはんをたべました。,I've already eaten lunch.,N5,13,0.23
毎日、牛乳を飲みます。,まいにち、ぎゅうにゅうをのみます。,I drink milk every day.,N5,11,0.45
毎朝、新聞を読みます。,まいあさ、しんぶんをよみます。,I read the newspaper every morning.,N5,11,0.45
今朝、パンを食べました。,けさ、ぱんをたべました。,I ate bread this morning.,N5,12,0.25
昨夜、十一時に寝ました。,さくや、じゅういちじにねました。,I went to bed at eleven last night.,N5,12,0.5
いつ日本へ来ましたか。,いつにっぽんへきましたか。,When did you come to Japan?,N5,11,0.27
来週の金曜日にテストがあります。,らいしゅうのきんようひにてすとがあります。,We'll have a test next Friday.,N5,16,0.31
昨日の天気はどうでしたか。,きのうのてんきはどうでしたか。,What was the weather like yesterday?,N5,13,0.31
この料理はあまり美味しくないです。,このりょうりはあまりおいしくないです。,This dish isn't very delicious.,N5,17,0.24
肉と魚とどちらが好きですか。,にくとさかなとどちらがすきですか。,"Which do you like better, meat or fish?",N5,14,0.21
肉のほうが好きです。,にくのほうがすきです。,I prefer meat.,N5,10,0.2
スポーツの中で何が一番好きですか。,すぽーつのなかでなんがいちばんすきですか。,What's your favorite sport?,N5,17,0.29
サッカーが一番好きです。,さっかーがいちばんすきです。,I like soccer best.,N5,12,0.25
一ヶ月に何回くらい映画を見ますか。,いちかげつになんかいくらいえいがをみますか。,How many times a month do you watch movies?,N5,17,0.41
何で会社へ行きますか。,なんでかいしゃへいきますか。,Why do you go to work?,N5,11,0.36
自転車で行きます。,じてんしゃでいきます。,I'm going by bicycle.,N5,9,0.44
誰に日本語を習いましたか。,だれににっぽんごをならいましたか。,Who taught you Japanese?,N5,13,0.38
木村さんに習いました。,きむらさんにならいました。,I learned it from Mr Kimura.,N5,11,0.27
英語が分かりますか。,えいごがわかりますか。,Do you understand English?,N5,10,0.3
いいえ、あまり分かりません。,いいえ、あまりわかりません。,"No, I don't understand much.",N5,14,0.07
お金がありません。,おかねがありません。,I don't have any money.,N5,9,0.11
時間がありません。,じかんがありません。,There's no time.,N5,9,0.22
どこに住んでいますか。,どこにすんでいますか。,Where do you live?,N5,11,0.09
東京に住んでいます。,とうきょうにすんでいます。,I live in Tokyo.,N5,10,0.3
部屋に誰もいません。,へやにだれもいません。,There's no one in the room.,N5,10,0.3
冷蔵庫に何もありません。,れいぞうこになんもありません。,There's nothing in the refrigerator.,N5,12,0.33
鞄はどこですか。,かばんはどこですか。,Where's the bag?,N5,8,0.12
あそこにあります。,あそこにあります。,It's over there.,N5,9,0.0
田中さんはどこですか。,たなかさんはどこですか。,Where's Mr. Tanaka?,N5,11,0.18
あそこにいます。,あそこにいます。,There he is.,N5,8,0.0
ちょっと暑いです。,ちょっとあついです。,It's a little hot.,N5,9,0.11
少し疲れました。,すこしつかれました。,I'm a little tired.,N5,8,0.25
また明日会いましょう。,またあすあいましょう。,I'll see you tomorrow.,N5,11,0.27
どうぞ座ってください。,どうぞすわってください。,Please sit down.,N5,11,0.09
すみません、トイレはどこですか。,すみません、といれはどこですか。,"Excuse me, where's the bathroom?",N5,16,0.0
あれを一つください。,あれをひとつください。,Give me one of those.,N5,10,0.1
この靴はいくらですか。,このくつはいくらですか。,How much are these shoes?,N5,11,0.09
二千円です。,にせんえんです。,It's two thousand yen.,N5,6,0.5
いらっしゃいませ。,いらっしゃいませ。,Welcome.,N5,9,0.0
お邪魔します。,おじゃまします。,I'm sorry to bother you.,N5,7,0.29
おやすみなさい。,おやすみなさい。,Good night.,N5,8,0.0
いただきます。,いただきます。,Thank you.,N5,7,0.0
ごちそうさまでした。,ごちそうさまでした。,Thank you for the meal.,N5,10,0.0
行ってきます。,いってきます。,I'm going.,N5,7,0.14
行ってらっしゃい。,いってらっしゃい。,See you later.,N5,9,0.11
ただいま。,ただいま。,I'm home.,N5,5,0.0
お帰りなさい。,おかえりなさい。,Welcome back.,N5,7,0.14
お元気ですか。,おげんきですか。,How are you?,N5,7,0.29
はい、元気です。,はい、げんきです。,"Yes, I'm fine.",N5,8,0.25
ありがとうございます。,ありがとうございます。,Thank you.,N5,11,0.0
どういたしまして。,どういたしまして。,You're welcome.,N5,9,0.0
このお茶、苦いです。,このおちゃ、にがいです。,This tea is bitter.,N5,10,0.2
外は風が強いです。,そとはかぜがつよいです。,It's windy outside.,N5,9,0.33
青い空が広いです。,あおいそらがひろいです。,The blue sky is wide.,N5,9,0.33
白い犬が走っています。,しろいいぬがはしっています。,A white dog is running.,N5,11,0.27
黒いカバンを持っています。,くろいかばんをもっています。,I have a black bag.,N5,13,0.15
赤いペンで書きます。,あかいぺんでかきます。,I'll write with a red pen.,N5,10,0.2
昨日、何を買いましたか。,きのう、なんをかいましたか。,What did you buy yesterday?,N5,12,0.33
ノートを五冊買いました。,のーとをごさつかいました。,I bought five notebooks.,N5,12,0.25
鉛筆を一本ください。,えんぴつをいちぽんください。,Please give me a pencil.,N5,10,0.4
シャツが三枚あります。,しゃつがさんまいあります。,There are three shirts.,N5,11,0.18
切手を十枚買いました。,きってをじゅうまいかいました。,I bought ten stamps.,N5,11,0.45
昨日は雨でしたか。,きのうはあめでしたか。,Was it raining yesterday?,N5,9,0.33
いいえ、雨ではありませんでした。,いいえ、あめではありませんでした。,"No, it wasn't rain.",N5,16,0.06
週末、何をしましたか。,しゅうまつ、なんをしましたか。,What did you do on the weekend?,N5,11,0.27
友達と会いました。,ともだちとあいました。,I met a friend.,N5,9,0.33
来週、どこかへ行きますか。,らいしゅう、どこかへいきますか。,Will you go somewhere next week?,N5,13,0.23
いいえ、どこも行きません。,いいえ、どこもいきません。,"No, I'm not going anywhere.",N5,13,0.08
お酒はあまり飲みません。,おさけはあまりのみません。,I don't drink much.,N5,12,0.17
毎日、お風呂に入ります。,まいにち、おふろにはいります。,I take a bath every day.,N5,12,0.42
シャワーを浴びます。,しゃわーをあびます。,I'm going to take a shower.,N5,10,0.1
歯を磨きます。,はをみがきます。,I'll brush my teeth.,N5,7,0.29
顔を洗います。,かおをあらいます。,I'll wash my face.,N5,7,0.29
ご飯を食べた後で、お茶を飲みます。,ごはんをたべたあとで、おちゃをのみます。,"After eating dinner, I'll have some tea.",N5,17,0.29
仕事を終わってから、帰ります。,しごとをおわってから、かえります。,I'll go home after I've finished my work.,N5,15,0.27
早く起きてください。,はやくおきてください。,Please get up early.,N5,10,0.2
ここに名前を書いてください。,ここになまえをかいてください。,Please write your name here.,N5,14,0.21
地図を持ってきましたか。,ちずをもってきましたか。,Did you bring a map?,N5,12,0.25
荷物を持ってあげましょうか。,にもつをもってあげましょうか。,Shall I take your baggage?,N5,14,0.21
窓を開けましょうか。,まどをあけましょうか。,Shall I open the window?,N5,10,0.2
エアコンをつけてもいいですか。,えあこんをつけてもいいですか。,May I turn on the air conditioner?,N5,15,0.0
電気がついています。,でんきがついています。,The lights are on.,N5,10,0.2
ドアが閉まっています。,どあがしまっています。,The door is closed.,N5,11,0.09
銀行の前に車が止まっています。,ぎんこうのまえにくるまがとまっています。,The car is parked in front of the bank.,N5,15,0.33
昨日は十時に寝ました。,きのうはじゅうじにねました。,I went to bed at ten yesterday.,N5,11,0.45
今朝、何時に起きましたか。,けさ、なんじにおきましたか。,What time did you get up this morning?,N5,13,0.38
七時に起きました。,ななじにおきました。,I got up at seven.,N5,9,0.33
昨日、何時に寝ましたか。,きのう、なんじにねましたか。,What time did you go to bed yesterday?,N5,12,0.42
十二時ごろ寝ました。,じゅうにじごろねました。,I went to bed about twelve o'clock.,N5,10,0.4
誕生日はいつですか。,たんじょうひはいつですか。,When's your birthday?,N5,10,0.3
五月一日です。,ごがつついたちです。,It's May Day.,N5,7,0.57
明日は暇ですか。,あすはひまですか。,Are you free tomorrow?,N5,8,0.38
はい、暇です。,はい、ひまです。,"Yes, I'm free.",N5,7,0.14
今日は天気がいいです。,きょうはてんきがいいです。,It's fine today.,N5,11,0.36
外は賑やかです。,そとはにぎやかです。,It's a good place outside.,N5,8,0.25
このカメラは高いです。,このかめらはたかいです。,This camera is expensive.,N5,11,0.09
あの建物は低いです。,あのたてものはひくいです。,That building is low.,N5,10,0.3
この机は重いです。,このつくえはおもいです。,This desk is heavy.,N5,9,0.22
このカバンは軽いです。,このかばんはかるいです。,This bag is light.,N5,11,0.09
教室にテレビが三台あります。,きょうしつにてれびがさんだいあります。,There are three TV sets in the classroom.,N5,14,0.29
私は毎朝コーヒーを飲みます。,わたくしはまいあさこーひーをのみます。,I drink coffee every morning.,N5,14,0.29
今日はとても寒いです。,きょうはとてもさむいです。,It's very cold today.,N5,11,0.27
明日、一緒に散歩しませんか。,あす、いっしょにさんぽしませんか。,Why don't we go for a walk tomorrow?,N5,14,0.43
私の部屋は狭いです。,わたくしのへやはせまいです。,My room is small.,N5,10,0.4
田中さんの部屋は広いです。,たなかさんのへやはひろいです。,Mr. Tanaka's room is large.,N5,13,0.38
昨日、テストがありました。,きのう、てすとがありました。,There was a test yesterday.,N5,13,0.15
テストは難しかったです。,てすとはむずかしかったです。,The test was difficult.,N5,12,0.08
日本語の辞書を持っていますか。,にっぽんごのじしょをもっていますか。,Do you have a Japanese dictionary?,N5,15,0.4
いいえ、持っていません。,いいえ、もっていません。,"No, I don't have it.",N5,12,0.08
また来てください。,またきてください。,Please come again.,N5,9,0.11
これはわたしのペンです。,これはわたしのぺんです。,This is my pen.,N5,12,0.0
田中さんは日本人です。,たなかさんはにっぽんにんです。,Mr. Tanaka is Japanese.,N5,11,0.45
あの建物は銀行です。,あのたてものはぎんこうです。,That building is a bank.,N5,10,0.4
お名前は何ですか。,おなまえはなんですか。,What's your name?,N5,9,0.33
わたしは学生ではありません。,わたしはがくせいではありません。,I'm not a student.,N5,14,0.14
大学の先生はだれですか。,だいがくのせんせいはだれですか。,Who's the professor at the university?,N5,12,0.33
今日は暑いですね。,きょうはあついですね。,"It's hot today, isn't it?",N5,9,0.33
明日は雨でしょう。,あすはあめでしょう。,"It will rain tomorrow, won't it?",N5,9,0.33
試験は何時までですか。,しけんはなんじまでですか。,What time does the exam take?,N5,11,0.36
銀行は九時に開きます。,ぎんこうはきゅうじにひらきます。,The bank opens at nine o'clock.,N5,11,0.45
昨日は休みでした。,きのうはやすみでした。,I was off yesterday.,N5,9,0.33
一昨日は日曜日でした。,いっさくひはにちようひでした。,The day before yesterday was Sunday.,N5,11,0.55
毎日、八時に起きます。,まいにち、はちじにおきます。,I get up every day at eight o'clock.,N5,11,0.45
夜、十一時に寝ます。,よる、じゅういちじにねます。,I go to bed at eleven at night.,N5,10,0.5
どこへ行きますか。,どこへいきますか。,Where are you going?,N5,9,0.11
スーパーへ行きます。,すーぱーへいきます。,I'm going to the supermarket.,N5,10,0.1
地下鉄で駅へ行きます。,ちかてつでえきへいきます。,I'm going to the station by subway.,N5,11,0.45
友達と映画を見ました。,ともだちとえいがをみました。,I saw a movie with a friend.,N5,11,0.45
一人で日本へ来ました。,ひとりでにっぽんへきました。,I came to Japan alone.,N5,11,0.45
タクシーで帰りましょう。,たくしーでかえりましょう。,Let's take a taxi home.,N5,12,0.08
朝ご飯を食べましたか。,あさごはんをたべましたか。,Did you eat breakfast?,N5,11,0.27
パンと卵を食べました。,ぱんとたまごをたべました。,I ate bread and eggs.,N5,11,0.18
何も飲みませんでした。,なんものみませんでした。,I didn't drink anything.,N5,11,0.18
公園で写真を撮ります。,こうえんでしゃしんをとります。,I'm taking pictures in the park.,N5,11,0.45
一緒にテニスをしませんか。,いっしょにてにすをしませんか。,Let's play tennis together.,N5,13,0.15
ちょっと休みましょう。,ちょっとやすみましょう。,Let's take a rest.,N5,11,0.09
日本語で手紙を書きます。,にっぽんごでてがみをかきます。,I'll write a letter in Japanese.,N5,12,0.5
はしでご飯を食べます。,はしでごはんをたべます。,I'm going to eat with chopsticks.,N5,11,0.18
これは英語で何ですか。,これはえいごでなんですか。,What is this in English?,N5,11,0.27
母に花をあげます。,ははにはなをあげます。,I'll give my mother flowers.,N5,9,0.22
父に時計をもらいました。,ちちにとけいをもらいました。,My father gave me a watch.,N5,12,0.25
もう荷物を送りましたか。,もうにもつをおくりましたか。,Have you already sent your baggage?,N5,12,0.25
いいえ、まだです。,いいえ、まだです。,"No, not yet.",N5,9,0.0
日本の食べ物はどうですか。,にっぽんのたべものはどうですか。,How about Japanese food?,N5,13,0.31
とても美味しいです。,とてもおいしいです。,It's very delicious.,N5,10,0.2
このコーヒーは熱くないです。,このこーひーはあつくないです。,This coffee isn't hot.,N5,14,0.07
仕事は忙しいですか。,しごとはいそがしいですか。,Are you busy at work?,N5,10,0.3
昨日はいい天気でした。,きのうはいいてんきでした。,It was nice weather yesterday.,N5,11,0.36
あの山は高いですね。,あのやまはたかいですね。,"That mountain is expensive, isn't it?",N5,10,0.2
どんなお酒が好きですか。,どんなおさけがすきですか。,What kind of wine do you like?,N5,12,0.17
田中さんは親切な人です。,たなかさんはしんせつなひとです。,Mr. Tanaka is a kind man.,N5,12,0.42
この部屋はあまり静かではありません。,このへやはあまりしずかではありません。,This room isn't very quiet.,N5,18,0.17
リンゴを四つください。,りんごをよんつください。,Please give me four apples.,N5,11,0.09
猫が三匹います。,ねこがさんひきいます。,I have three cats.,N5,8,0.38
教室にテレビがありますか。,きょうしつにてれびがありますか。,Is there a TV in the classroom?,N5,13,0.15
机の下に猫がいます。,つくえのしたにねこがいます。,There's a cat under the desk.,N5,10,0.3
スーパーの隣に本屋があります。,すーぱーのとなりにほんやがあります。,There is a bookstore next to the supermarket.,N5,15,0.2
一ヶ月に三回くらい行きます。,いちかげつにさんかいくらいいきます。,I go about three times a month.,N5,14,0.36
ここから駅まで遠いですか。,ここからえきまでとおいですか。,Is it far from here to the station?,N5,13,0.15
歩いて十分かかります。,あるいてじゅうぶんかかります。,It'll take long walking.,N5,11,0.27
雨が降っていますね。,あめがふっていますね。,"It's raining, isn't it?",N5,10,0.2
窓を閉めてください。,まどをしめてください。,Please close the window.,N5,10,0.2
住所と名前を書いてください。,じゅうしょとなまえをかいてください。,Please write down your address and name.,N5,14,0.36
ゆっくり話してください。,ゆっくりはなしてください。,Please speak slowly.,N5,12,0.08
傘を貸しましょうか。,かさをかしましょうか。,May I lend you an umbrella?,N5,10,0.2
ここで煙草を吸わないでください。,ここでたばこをすわないでください。,Please don't smoke here.,N5,16,0.19
この服を着てもいいですか。,このふくをきてもいいですか。,May I wear this dress?,N5,13,0.15
写真を撮ってはいけません。,しゃしんをとってはいけません。,Don't take pictures.,N5,13,0.23
パスポートを見せてください。,ぱすぽーとをみせてください。,Please show me your passport.,N5,14,0.07
財布を忘れました。,さいふをわすれました。,I forgot my wallet.,N5,9,0.33
薬を飲まなければなりません。,くすりをのまなければなりません。,I have to take my medicine.,N5,14,0.14
靴を脱がなくてもいいですよ。,くつをぬがなくてもいいですよ。,You don't have to take off your shoes.,N5,14,0.14
趣味は泳ぐことです。,しゅみはおよぐことです。,My hobby is swimming.,N5,10,0.3
ギターを弾くことができますか。,ぎたーをひくことができますか。,Can you play the guitar?,N5,15,0.07
寝る前に水を飲みます。,ねるまえにみずをのみます。,I drink water before going to bed.,N5,11,0.36
日本のお寺を見たことがあります。,にっぽんのおてらをみたことがあります。,I've seen Japanese temples.,N5,16,0.25
昨日は本を読んだりしました。,きのうはほんをよんだりしました。,I used to read books yesterday.,N5,14,0.29
これから寒くなりますね。,これからさむくなりますね。,"It's going to be cold, isn't it?",N5,12,0.08
そのテレビは安くて、いいです。,そのてれびはやすくて、いいです。,That TV is cheap and fine.,N5,15,0.07
京都はきれいで静かな町です。,きょうとはきれいでしずかなまちです。,"Kyoto is a beautiful, quiet town.",N5,14,0.29
田中さんは背が高いです。,たなかさんはせがたかいです。,Mr. Tanaka is tall.,N5,12,0.33
日本語を話すのが上手ですね。,にっぽんごをはなすのがじょうずですね。,"You speak Japanese well, don't you?",N5,14,0.43
料理を作るのが好きです。,りょうりをつくるのがすきです。,I like to cook.,N5,12,0.33
喉が渇きましたね。,のどがかわきましたね。,"You're thirsty, aren't you?",N5,9,0.22
お腹がとても空いています。,おなかがとてもあいています。,I'm very hungry.,N5,13,0.15
冷たいジュースを飲みたいです。,つめたいじゅーすをのみたいです。,I want to drink some cold juice.,N5,15,0.13
どこへも行きたくないです。,どこへもいきたくないです。,I don't want to go anywhere.,N5,13,0.08
この料理は少し辛いです。,このりょうりはすこしつらいです。,This dish is a little hard.,N5,12,0.33
外はとても暗いですよ。,そとはとてもくらいですよ。,It's very dark outside.,N5,11,0.18
鞄の中に携帯があります。,かばんのなかにけいたいがあります。,I have a phone in my bag.,N5,12,0.33
窓の横に椅子があります。,まどのよこにいすがあります。,There is a chair by the window.,N5,12,0.33
駅の前に古い木があります。,えきのまえにふるいきがあります。,There is an old tree in front of the station.,N5,13,0.31
友達と晩ご飯を食べに行きます。,ともだちとばんごはんをたべにいきます。,I'm going out to dinner with my friends.,N5,15,0.4
田中さんは今、寝ています。,たなかさんはいま、ねています。,Mr. Tanaka is sleeping now.,N5,13,0.31
名前を教えてください。,なまえをおしえてください。,Please tell me your name.,N5,11,0.27
あそこに白い花が咲いています。,あそこにしろいはながさいています。,There's a white flower blooming over there.,N5,15,0.2
帽子をかぶっている人です。,ぼうしをかぶっているひとです。,He's the one wearing the hat.,N5,13,0.23
眼鏡をかけた先生です。,めがねをかけたせんせいです。,I'm the teacher who put on her glasses.,N5,11,0.36
白いシャツを着ています。,しろいしゃつをきています。,I'm wearing a white shirt.,N5,12,0.17
新しい靴を履きました。,あたらしいくつをはきました。,I've put on my new shoes.,N5,11,0.27
もう宿題をしましたか。,もうしゅくだいをしましたか。,Have you done your homework yet?,N5,11,0.18
毎日、お茶を飲みます。,まいにち、おちゃをのみます。,I drink tea every day.,N5,11,0.36
毎朝、新聞を読みますか。,まいあさ、しんぶんをよみますか。,Do you read the newspaper every morning?,N5,12,0.42
今朝、コーヒーを飲みました。,けさ、こーひーをのみました。,I drank coffee this morning.,N5,14,0.21
昨夜、十時半に寝ました。,さくや、じゅうじはんにねました。,I went to bed at 10:30 last night.,N5,12,0.5
いつ日本へ来ましたか。,いつにっぽんへきましたか。,When did you come to Japan?,N5,11,0.27
来週の月曜日にテストがあります。,らいしゅうのげつようひにてすとがあります。,We'll have a test next Monday.,N5,16,0.31
昨日の天気はどうでしたか。,きのうのてんきはどうでしたか。,What was the weather like yesterday?,N5,13,0.31
この肉はあまり美味しくないです。,このにくはあまりおいしくないです。,This meat isn't very delicious.,N5,16,0.19
肉と魚とどちらが好きですか。,にくとさかなとどちらがすきですか。,"Which do you like better, meat or fish?",N5,14,0.21
どちらも好きです。,どちらもすきです。,I like both.,N5,9,0.11
スポーツで何が一番好きですか。,すぽーつでなんがいちばんすきですか。,What do you like best in sports?,N5,15,0.27
野球が一番好きです。,やきゅうがいちばんすきです。,I like baseball best.,N5,10,0.5
一ヶ月に何回くらい帰りますか。,いちかげつになんかいくらいかえりますか。,How many times a month do you go home?,N5,15,0.33
何で学校へ行きますか。,なんでがっこうへいきますか。,Why do you go to school?,N5,11,0.36
自転車で行きます。,じてんしゃでいきます。,I'm going by bicycle.,N5,9,0.44
だれに英語を習いましたか。,だれにえいごをならいましたか。,Who taught you English?,N5,13,0.23
父に習いました。,ちちにならいました。,I learned it from my father.,N5,8,0.25
